symbol,value
”,0
‘,1
‘,2
Ÿ,3
œ,4
‰,5
”,6
‹,7
ž,8
“,9
ƒ,10
ƒ,11
Ž,12
€,13
…,14
˜,15
”,16
†,17
›,18
†,19
Ž,20
€,21
ƒ,22
Ÿ,23
‘,24
œ,25
„,26
—,27
†,28
„,29
Œ,30
Œ,31
†,32
Œ,33
…,34
˜,35
›,36
Ž,37
ˆ,38
ž,39
‡,40
˜,41
ƒ,42
–,43
š,44
–,45
’,46
ˆ,47
Ž,48
–,49
†,50
•,51
„,52
†,53
™,54
Š,55
š,56
’,57
„,58
ˆ,59
ž,60
‚,61
•,62
†,63
™,64
’,65
…,66
Ž,67
™,68
”,69
”,70
‡,71
‰,72
–,73
’,74
Š,75
”,76
Š,77
Ž,78
‹,79
”,80
Ž,81
€,82
—,83
•,84
‹,85
ˆ,86
–,87
˜,88
‰,89
Ÿ,90
•,91
„,92
•,93
€,94
‰,95
„,96
…,97
‡,98
†,99
‰,100
˜,101
€,102
„,103
•,104
’,105
š,106
€,107
“,108
Ž,109
Œ,110
–,111
–,112
œ,113
™,114
€,115
Ÿ,116
‚,117
’,118
•,119
™,120
‡,121
‡,122
’,123
Œ,124
†,125
ˆ,126
’,127
ƒ,128
€,129
”,130
Ž,131
š,132
ƒ,133
…,134
ˆ,135
Ž,136
ƒ,137
Œ,138
”,139
“,140
”,141
›,142
š,143
“,144
‡,145
Ÿ,146
ž,147
™,148
œ,149
ˆ,150
„,151
€,152
‡,153
Ž,154
‹,155
‘,156
œ,157
‹,158
ƒ,159
“,160
’,161
ˆ,162
ž,163
‰,164
Ÿ,165
ƒ,166
‘,167
Š,168
œ,169
˜,170
…,171
›,172
‹,173
’,174
™,175
†,176
‹,177
“,178
€,179
›,180
—,181
™,182
˜,183
‘,184
œ,185
Š,186
—,187
†,188
‡,189
„,190
€,191
“,192
‘,193
…,194
›,195
ˆ,196
‡,197
‘,198
”,199
ž,200
Š,201
ƒ,202
’,203
‰,204
‚,205
—,206
‹,207
–,208
‘,209
—,210
š,211
‹,212
‘,213
˜,214
‚,215
ˆ,216
‹,217
‹,218
ž,219
…,220
™,221
“,222
š,223
•,224
‡,225
š,226
“,227
‚,228
Ž,229
…,230
˜,231
—,232
“,233
ˆ,234
ž,235
ž,236
Œ,237
Ÿ,238
‚,239
’,240
„,241
„,242
‰,243
™,244
„,245
‚,246
ƒ,247
Ž,248
”,249
ƒ,250
‹,251
œ,252
ˆ,253
š,254
Œ,255
—,256
ƒ,257
Œ,258
–,259
š,260
—,261
š,262
˜,263
•,264
€,265
™,266
‡,267
Œ,268
“,269
‘,270
‹,271
š,272
™,273
“,274
–,275
„,276
Š,277
Ž,278
‡,279
›,280
‡,281
„,282
’,283
—,284
š,285
—,286
Š,287
…,288
™,289
Ž,290
“,291
„,292
‹,293
„,294
€,295
Ÿ,296
‘,297
Š,298
†,299
“,300
‹,301
’,302
•,303
Œ,304
ˆ,305
‚,306
œ,307
‡,308
Ÿ,309
‰,310
”,311
œ,312
ˆ,313
’,314
…,315
š,316
Œ,317
’,318
˜,319
”,320
…,321
ž,322
–,323
‚,324
š,325
™,326
…,327
—,328
”,329
”,330
‘,331
œ,332
„,333
†,334
“,335
™,336
†,337
˜,338
‘,339
…,340
•,341
™,342
Œ,343
›,344
„,345
…,346
ž,347
‹,348
‹,349
ž,350
ž,351
’,352
•,353
”,354
™,355
‚,356
ž,357
œ,358
Ÿ,359
–,360
‹,361
…,362
š,363
œ,364
—,365
‚,366
Ÿ,367
€,368
™,369
ˆ,370
™,371
›,372
Ž,373
‹,374
•,375
’,376
’,377
ˆ,378
ˆ,379
™,380
ˆ,381
˜,382
‰,383
ƒ,384
‰,385
‹,386
ˆ,387
’,388
„,389
œ,390
ž,391
–,392
š,393
›,394
‚,395
ƒ,396
‹,397
—,398
‚,399
‡,400
˜,401
ˆ,402
‹,403
“,404
€,405
•,406
–,407
Ž,408
‘,409
ˆ,410
„,411
Š,412
‘,413
ˆ,414
œ,415
›,416
ƒ,417
Ÿ,418
’,419
‹,420
ƒ,421
Œ,422
€,423
‘,424
Š,425
ž,426
…,427
”,428
‹,429
†,430
ƒ,431
€,432
…,433
†,434
Ÿ,435
ž,436
„,437
˜,438
š,439
š,440
“,441
”,442
ž,443
—,444
‹,445
Š,446
š,447
—,448
Š,449
Š,450
Š,451
’,452
Ÿ,453
˜,454
˜,455
€,456
˜,457
–,458
š,459
‘,460
Ž,461
‚,462
™,463
„,464
…,465
‡,466
œ,467
‰,468
Š,469
‚,470
‹,471
†,472
•,473
Š,474
ž,475
–,476
”,477
‡,478
š,479
„,480
‘,481
‘,482
‡,483
’,484
…,485
‘,486
„,487
›,488
Œ,489
š,490
‚,491
—,492
‡,493
–,494
ˆ,495
’,496
™,497
Ÿ,498
Œ,499
